Aircraft Type,Accident Count,Fatal Accidents,Total Fatalities,Avg Severity Index,First Year,Last Year,Risk Score
DOUGLAS DC 8 63F,0.0008456659619450317,1,0.004451038575667656,0.0057306590257879654,1983,1996,0.003264813620202668
MITSUBISHI MU 2B 26A,0.001691331923890063,2,0.004451038575667656,0.0040114613180515755,2000,2010,0.003259240463433403
SCHWEIZER SGS 2 33,0.007610993657505285,0,0.0,0.0010556477152767305,1983,2022,0.0032555270060574603
CESSNA 210C,0.0054968287526427064,2,0.002225519287833828,0.0008186655751125664,1983,2022,0.003252672331213127
CESSNA T337,0.002959830866807611,2,0.00370919881305638,0.0028653295128939827,2009,2019,0.0032406777745243934
TAYLORCRAFT F19,0.006342494714587738,1,0.001483679525222552,0.0005372492836676218,1982,2018,0.0032379195526576407
CESSNA 180D,0.006342494714587738,1,0.001483679525222552,0.0005372492836676218,1982,2020,0.0032379195526576407
GARLICK UH 1H,0.00507399577167019,2,0.002225519287833828,0.0015428697377121445,1996,2006,0.003228379971344036
CUBCRAFTERS INC CC11 160,0.007610993657505285,0,0.0,0.0009048408988086261,2010,2022,0.0032253656427638396
CESSNA L 19E,0.0038054968287526423,3,0.002967359050445104,0.0025787965616045844,1984,2022,0.003224901664000015
SOCATA TB 20 TRINIDAD,0.002114164904862579,4,0.004451038575667656,0.0028653295128939827,1997,2017,0.0031991472947908908
DOUGLAS DC 8 61,0.001691331923890063,1,0.00370919881305638,0.005157593123209169,1982,1997,0.003191730919420411
ENSTROM F28A,0.005919661733615222,1,0.001483679525222552,0.001146131805157593,1982,2007,0.0031905628645666284
MD HELICOPTERS MD 600N,0.0,1,0.002225519287833828,0.011461318051575931,2006,2006,0.0031824713254487175
PIPER 31 310,0.0,1,0.002225519287833828,0.011461318051575931,2001,2001,0.0031824713254487175
EUROCOPTER EC 135,0.0,1,0.002225519287833828,0.011461318051575931,1999,1999,0.0031824713254487175
BEECH B 50,0.0,1,0.002225519287833828,0.011461318051575931,1985,1985,0.0031824713254487175
AEROSPATIALE AS350D ASTAR,0.0,1,0.002225519287833828,0.011461318051575931,1991,1991,0.0031824713254487175
AEROSPATIALE ATR 42 300,0.006765327695560253,1,0.000741839762611276,0.0008427439743805831,1988,2005,0.0031714157781447283
BUSHBY MUSTANG II,0.002959830866807611,3,0.00370919881305638,0.0025071633237822347,1986,2018,0.0031690445367020437
GRUMMAN AA1,0.002959830866807611,3,0.00370919881305638,0.0025071633237822347,1982,2022,0.0031690445367020437
BELLANCA 14 19 3,0.002959830866807611,3,0.00370919881305638,0.0025071633237822347,1983,2021,0.0031690445367020437
GATES LEARJET 25C,0.0,1,0.000741839762611276,0.014326647564469913,2002,2002,0.003162065417938493
GARLICK OH58A,0.0,1,0.000741839762611276,0.014326647564469913,2004,2004,0.003162065417938493
EUROCOPTER AS 350,0.0038054968287526423,1,0.002225519287833828,0.0037249283667621777,1999,2020,0.003157392119987024
BEECH 90,0.0033826638477801266,2,0.00370919881305638,0.001591849729385546,1982,2022,0.0031551150102117117
ROBINSON HELICOPTER R22 BETA II,0.0033826638477801266,4,0.00370919881305638,0.001591849729385546,2008,2014,0.0031551150102117117
AIR TRACTOR 502B,0.0033826638477801266,4,0.00370919881305638,0.001591849729385546,1995,2021,0.0031551150102117117
CESSNA P206A,0.0033826638477801266,3,0.00370919881305638,0.001591849729385546,1983,2008,0.0031551150102117117
PICCARD AX 6,0.0025369978858350954,3,0.00370919881305638,0.0032746623004502656,1983,1989,0.0031534111396466433
SIKORSKY S 58ET,0.0025369978858350954,3,0.00370919881305638,0.0032746623004502656,1985,2011,0.0031534111396466433
BOMBARDIER INC CL 600 2B16,0.0012684989429175475,1,0.004451038575667656,0.004297994269340974,2013,2022,0.0031474138613022764
SWEARINGEN SA226 T(B),0.0012684989429175475,3,0.004451038575667656,0.004297994269340974,1982,2022,0.0031474138613022764
BELL 206   L4,0.001691331923890063,2,0.004451038575667656,0.0034383954154727794,2011,2015,0.003144627282917644
ROCKWELL NA 265 65,0.001691331923890063,1,0.004451038575667656,0.0034383954154727794,1982,2013,0.003144627282917644
BEECH D 35,0.001691331923890063,3,0.004451038575667656,0.0034383954154727794,1984,1999,0.003144627282917644
PIPER PA28RT,0.001691331923890063,2,0.004451038575667656,0.0034383954154727794,2016,2020,0.003144627282917644
ERCOUPE (ENG & RESEARCH CORP.) 415 CD,0.004228329809725159,3,0.002967359050445104,0.0013024225058609013,1983,2002,0.0031387600452402855
CHAMPION 8GCBC,0.0038054968287526423,2,0.002967359050445104,0.0020057306590257878,1986,2020,0.0031102884834842562
BELL 206L3,0.004228329809725159,2,0.002225519287833828,0.0026048450117218025,1991,2005,0.003102508641367955
BEECH 65 B80,0.002959830866807611,3,0.00370919881305638,0.002148997134670487,1982,2013,0.003097411298879694
PIPER PA 20 135,0.002959830866807611,3,0.00370919881305638,0.002148997134670487,1985,2022,0.003097411298879694
NORTH AMERICAN SNJ 4,0.002959830866807611,2,0.00370919881305638,0.002148997134670487,1985,2019,0.003097411298879694
NORTH AMERICAN SNJ 6,0.004228329809725159,2,0.002967359050445104,0.001041938004688721,1982,2022,0.0030866631450058492
AEROSPATIALE AS 350 D,0.00042283298097251583,2,0.00370919881305638,0.007163323782234957,1989,2008,0.00308547747405855
PIPER PA 32 R 300,0.00042283298097251583,1,0.00370919881305638,0.007163323782234957,1982,1990,0.00308547747405855
BEECH 390,0.00042283298097251583,1,0.00370919881305638,0.007163323782234957,2013,2015,0.00308547747405855
CIRRUS DESIGN CORPORATION SR 22,0.00042283298097251583,2,0.00370919881305638,0.007163323782234957,2008,2013,0.00308547747405855
CIRRUS DESIGN SR20,0.00042283298097251583,2,0.00370919881305638,0.007163323782234957,2009,2017,0.00308547747405855
PIPER PA 32 300RT,0.00042283298097251583,1,0.00370919881305638,0.007163323782234957,1990,2004,0.00308547747405855
JETSTREAM 4101,0.00042283298097251583,1,0.00370919881305638,0.007163323782234957,1994,2000,0.00308547747405855
BEECH BE 95A,0.00042283298097251583,1,0.002967359050445104,0.008595988538681949,1999,1999,0.0030752745203034377
ERCOUPE 415 D,0.0025369978858350954,3,0.00370919881305638,0.0028653295128939827,2000,2018,0.0030715445821353866
PIPER PA44,0.0025369978858350954,2,0.00370919881305638,0.0028653295128939827,2015,2021,0.0030715445821353866
ROBINSON R22   BETA,0.0025369978858350954,3,0.00370919881305638,0.0028653295128939827,2013,2015,0.0030715445821353866
EXTRA FLUGZEUGBAU GMBH EA 300/L,0.0038054968287526423,4,0.002967359050445104,0.0017191977077363897,2006,2022,0.0030529818932263763
PIPER PA22 150,0.0038054968287526423,1,0.002967359050445104,0.0017191977077363897,1983,2019,0.0030529818932263763
EMBRAER EMB135,0.00042283298097251583,0,0.0,0.014326647564469913,2009,2017,0.003034462705282989
BOEING 757 223,0.007188160676532769,0,0.0,0.000795924864692773,1989,2017,0.003034449243551662
MAULE MX7,0.007188160676532769,0,0.0,0.000795924864692773,2010,2022,0.003034449243551662
SOCATA TB 10,0.002959830866807611,2,0.00370919881305638,0.0017908309455587391,1987,2020,0.0030257780610573447
CESSNA 337F,0.002959830866807611,2,0.00370919881305638,0.0017908309455587391,1985,2015,0.0030257780610573447
BEECH C 45G,0.002959830866807611,3,0.00370919881305638,0.0017908309455587391,1982,2011,0.0030257780610573447
BELL 47G 2A 1,0.002959830866807611,3,0.002967359050445104,0.0032234957020057307,1983,2021,0.0030155751073022326
BOEING 777 223,0.004651162790697674,0,0.0,0.0057306590257879654,2000,2022,0.003006596921436663
BELL 47G 3B,0.007188160676532769,0,0.0,0.0006367398917542183,1982,2018,0.0030026122489639514
VANS RV10,0.002114164904862579,2,0.00370919881305638,0.0033428844317096467,2018,2022,0.002997922373509513
CESSNA 320F,0.002114164904862579,3,0.00370919881305638,0.0033428844317096467,1982,2011,0.002997922373509513
RANS S 12,0.002114164904862579,4,0.00370919881305638,0.0033428844317096467,1995,2020,0.002997922373509513
PIPER PA28R 200,0.0038054968287526423,2,0.002967359050445104,0.0014326647564469914,1984,2007,0.002995675302968497
VANS AIRCRAFT INC RV 12,0.0038054968287526423,4,0.002967359050445104,0.0014326647564469914,2010,2022,0.002995675302968497
ROTORWAY EXEC 162F,0.0038054968287526423,3,0.002967359050445104,0.0014326647564469914,2000,2021,0.002995675302968497
PIPER J3C 85,0.0025369978858350954,4,0.00370919881305638,0.0024559967253376994,1983,2021,0.00298967802462413
